poll_id,numeric_grade,methodology,transparency_score,end_date,sample_size,pollster_name,state,pct,duration,num_trump
88397,3.9,Live Phone,10,2024-07-30,1614,East Carolina University Center for Survey Research,Pennsylvania,35.6,157,575
88777,2.9,Mixed Voting,10,2024-10-28,694,High Point University Survey Research Center,Pennsylvania,47.9,161,332
88613,3.1,Mixed Voting,5,2024-10-06,1512,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,Colorado,36,172,545
88534,3.9,Online Ad,10,2024-09-25,1486,Marist College,Hawaii,54.7,152,812
88779,3.6,Mixed Voting,4,2024-10-04,1137,YouGov Blue,Oregon,45.5,174,517
88047,3.4,Mixed Voting,10,2024-10-01,3493,Quinnipiac University,North Dakota,46.3,155,1618
88647,3.1,Online Ad,5,2024-10-02,1605,The Washington Post/George Mason University Schar School of Policy and Government,California,38.2,181,612
88674,3,Mixed Voting,7,2024-09-27,1632,YouGov/Center for Working Class Politics,Utah,37.6,135,614
88959,2.8,Mixed Voting,6,2024-09-11,933,Marquette University Law School,Montana,54.6,155,510
88992,3,Online Ad,9,2024-08-24,696,Roanoke College Institute for Policy and Opinion Research,New Mexico,39.4,97,274
88875,3.8,Online Ad,10,2024-10-25,2644,Christopher Newport University Wason Center for Civic Leadership,Georgia,51.6,136,1366
88716,2.9,Online Ad,10,2024-08-18,919,Marquette University Law School,Montana,49.8,173,458
88098,2.5,Live Phone,7,2024-07-17,3424,AtlasIntel,Kansas,41.9,178,1433
88088,2.9,Live Phone,9,2024-09-22,1619,University of North Florida Public Opinion Research Lab,Tennessee,49.2,185,797
88549,3.2,Live Phone,4,2024-08-18,806,Elon University,Louisiana,51.1,102,412
88088,3.2,Online Panel,8,2024-08-11,902,The Washington Post/George Mason University Schar School of Policy and Government,Vermont,52.4,166,472
88613,2.8,Online Ad,5,2024-09-13,3317,Data Orbital,Iowa,51.9,116,1721
88550,2.9,Mixed Voting,8,2024-09-12,2173,University of North Florida Public Opinion Research Lab,New York,45.8,89,994
88746,2.8,Mixed Voting,4,2024-10-13,523,Muhlenberg College Institute of Public Opinion,Kentucky,38.3,194,200
88889,3.9,Live Phone,4,2024-10-28,775,Elon University,New York,52.9,158,410
88985,2.5,Live Phone,6,2024-08-03,2150,CNN/SSRS,North Dakota,41.6,134,893
88929,3.5,Online Ad,8,2024-10-10,2883,Marist College,Georgia,53.2,108,1534
88010,3.2,Online Panel,7,2024-10-02,349,Marquette University Law School,Massachusetts,38.2,183,133
88546,3.8,Live Phone,4,2024-08-16,452,SurveyUSA,Hawaii,47.9,186,217
88687,2.6,Live Phone,5,2024-10-10,1322,Remington Research Group,Texas,39.1,146,517
88321,2.9,Online Ad,7,2024-09-15,999,Quinnipiac University,Wyoming,35.4,157,354
88118,2.9,Live Phone,9,2024-10-08,1418,Suffolk University,Minnesota,36.6,193,519
88337,3.9,Online Panel,6,2024-10-24,558,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,Georgia,35.3,159,197
88997,3.4,Live Phone,7,2024-07-27,3298,Mason-Dixon Polling & Strategy,Wyoming,54.7,138,1803
88447,3.2,Mixed Voting,5,2024-08-28,575,High Point University Survey Research Center,Massachusetts,48.4,133,279
88387,3.9,Live Phone,6,2024-07-29,2018,University of New Hampshire Survey Center,Massachusetts,51.6,189,1041
88883,3.3,Online Ad,8,2024-10-21,632,Elon University,Hawaii,54.4,174,344
88874,4,Mixed Voting,4,2024-08-29,1701,SurveyUSA,Maryland,36.2,139,615
88991,3.2,Online Ad,9,2024-09-26,613,Christopher Newport University Wason Center for Civic Leadership,Washington,54.7,155,335
88990,3.9,Live Phone,7,2024-08-29,2466,Winthrop University Center for Public Opinion & Policy Research,South Carolina,53.5,123,1319
88753,2.6,Online Ad,7,2024-08-14,641,Remington Research Group,Colorado,36.9,138,236
88599,3.4,Online Ad,9,2024-10-30,2484,CNN/SSRS,Virginia,54.1,114,1344
88379,2.8,Online Panel,8,2024-10-27,1122,Christopher Newport University Wason Center for Civic Leadership,Iowa,49.6,177,557
88883,3.5,Live Phone,7,2024-08-19,1908,Mason-Dixon Polling & Strategy,Maryland,50.8,194,970
88085,3.6,Online Ad,10,2024-09-23,431,Suffolk University,Iowa,46.1,144,199
88912,3.9,Online Ad,4,2024-09-26,1675,Siena College,Pennsylvania,46.6,133,780
88103,3.7,Online Ad,8,2024-10-24,308,The Washington Post/George Mason University Schar School of Policy and Government,South Carolina,42,145,129
88444,3.9,Mixed Voting,9,2024-09-17,1310,University of California Berkeley Institute of Governmental Studies,Vermont,40.8,187,534
88389,2.5,Mixed Voting,8,2024-08-16,2688,The New York Times/Siena College,Colorado,51.3,188,1378
88154,2.8,Mixed Voting,10,2024-10-04,467,YouGov,Oregon,50,121,233
88700,2.7,Online Panel,8,2024-08-18,557,AtlasIntel,Washington,52.7,194,293
88118,2.9,Mixed Voting,10,2024-10-30,3298,Elon University,Montana,53.3,168,1756
88531,2.7,Live Phone,5,2024-09-07,3052,Data Orbital,National,49.3,188,1504
88099,3.4,Online Panel,4,2024-09-15,2118,Christopher Newport University Wason Center for Civic Leadership,Iowa,54,137,1145
88527,3.6,Online Ad,8,2024-09-07,2110,YouGov Blue,Indiana,41.7,148,880
88240,2.6,Live Phone,6,2024-07-24,457,Selzer & Co.,Minnesota,45.9,96,210
88202,3.1,Online Ad,7,2024-07-29,1142,SurveyUSA/High Point University Survey Research Center,Wisconsin,46.1,119,526
88553,3,Online Ad,5,2024-10-06,3483,YouGov,Vermont,37.3,126,1297
88970,3.8,Live Phone,6,2024-08-17,2517,YouGov/Center for Working Class Politics,Nebraska,40.4,142,1017
88885,3.7,Online Ad,10,2024-08-28,797,University of North Florida Public Opinion Research Lab,Maine,50.4,92,402
88240,3.1,Online Ad,9,2024-08-20,823,Remington Research Group,Kansas,40.8,200,336
88268,3,Online Panel,10,2024-10-31,850,SurveyUSA/High Point University Survey Research Center,Massachusetts,37.1,85,315
88474,2.5,Online Panel,10,2024-10-01,3396,YouGov Blue,Texas,39.1,181,1327
88461,3.9,Mixed Voting,8,2024-07-21,1469,Roanoke College Institute for Policy and Opinion Research,Nevada,46.5,91,683
88351,3.5,Online Panel,9,2024-10-21,3489,Christopher Newport University Wason Center for Civic Leadership,New Jersey,51.6,147,1799
88507,2.5,Mixed Voting,8,2024-10-04,2937,SurveyUSA/High Point University Survey Research Center,North Carolina,48.4,157,1421
88170,3.2,Online Ad,6,2024-10-28,397,Siena College,Mississippi,44.8,152,178
88161,4,Online Panel,5,2024-10-15,477,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,Idaho,38.7,153,184
88010,3,Online Panel,5,2024-09-06,3308,Emerson College,Mississippi,40.5,124,1341
88059,3.6,Mixed Voting,6,2024-07-25,1913,Marquette University Law School,Illinois,49.7,167,950
88398,3.8,Live Phone,10,2024-10-29,2331,CNN/SSRS,Maine,37.1,183,865
88975,4,Online Ad,5,2024-08-25,1211,Siena College,New Jersey,50.6,160,612
88528,4,Live Phone,4,2024-08-02,465,Winthrop University Center for Public Opinion & Policy Research,Oklahoma,48.2,132,224
88691,3.3,Online Panel,7,2024-08-08,1824,Emerson College,Minnesota,54.7,146,998
88313,3.3,Online Ad,4,2024-09-30,1042,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,Hawaii,37.9,169,395
88051,3.5,Online Panel,4,2024-09-15,579,Mason-Dixon Polling & Strategy,South Dakota,44.5,91,258
88183,3.2,Online Ad,4,2024-07-31,3268,East Carolina University Center for Survey Research,Maine,38.6,151,1261
88265,2.6,Mixed Voting,10,2024-08-19,1688,Beacon Research/Shaw & Company Research,Wyoming,52.1,158,879
88192,3.5,Live Phone,9,2024-09-19,378,Suffolk University,Maryland,35.3,162,133
88519,3.9,Mixed Voting,6,2024-09-06,357,YouGov,Oregon,39.6,189,141
88377,3.4,Online Panel,4,2024-10-17,1401,High Point University Survey Research Center,Alaska,41.5,155,582
88992,3.3,Live Phone,5,2024-09-08,3282,YouGov/Center for Working Class Politics,Colorado,51.8,145,1700
88393,3.4,Online Ad,4,2024-08-14,2928,Winthrop University Center for Public Opinion & Policy Research,Rhode Island,54.6,125,1599
